Application,Product,Drug,NDA,Marketing,Sponsor,Form,Strength,Ingredient,DocumentType,DocumentDate,DocumentURL
18365,7,POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,N018365,Discontinued,ICU MEDICAL INC,INJECTABLE (INJECTION),5GM/100ML;149MG/100ML;225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18365,8,POTASSIUM CHLORIDE 15MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,N018365,Discontinued,ICU MEDICAL INC,INJECTABLE (INJECTION),5GM/100ML;224MG/100ML;225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18365,9,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,N018365,Discontinued,ICU MEDICAL INC,INJECTABLE (INJECTION),5GM/100ML;298MG/100ML;225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18371,1,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% IN PLASTIC CONTAINER,N018371,Prescription,ICU MEDICAL INC,INJECTABLE (INJECTION),5GM/100ML;149MG/100ML,DEXTROSE; POTASSIUM CHLORIDE,,,
18371,2,POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% IN PLASTIC CONTAINER,N018371,Discontinued,ICU MEDICAL INC,INJECTABLE (INJECTION),5GM/100ML;298MG/100ML,DEXTROSE; POTASSIUM CHLORIDE,,,
18371,3,POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% IN PLASTIC CONTAINER,N018371,Discontinued,ICU MEDICAL INC,INJECTABLE (INJECTION),5GM/100ML;224MG/100ML,DEXTROSE; POTASSIUM CHLORIDE,,,
18469,1,BSS PLUS,N018469,Prescription,ALCON,SOLUTION (IRRIGATION),0.154MG/ML;0.92MG/ML;0.184MG/ML;0.2MG/ML;0.38MG/ML;2.1MG/ML;7.14MG/ML;0.42MG/ML,CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,,,
18511,1,DRAXIMAGE DTPA,N018511,Prescription,JUBILANT,INJECTABLE (INJECTION),N/A,TECHNETIUM TC-99M PENTETATE KIT,,,
18562,1,DEXTROSE 40% IN PLASTIC CONTAINER,N018562,Prescription,ICU MEDICAL INC,INJECTABLE (INJECTION),40GM/100ML,DEXTROSE,,,
18564,1,DEXTROSE 20% IN PLASTIC CONTAINER,N018564,Prescription,ICU MEDICAL INC,INJECTABLE (INJECTION),20GM/100ML,DEXTROSE,,,
18582,1,PROCALAMINE,N018582,Prescription,B BRAUN,INJECTABLE (INJECTION),3%;26MG/100ML;3GM/100ML;54MG/100ML;41MG/100ML;150MG/100ML;200MG/100ML;120MG/100ML,AMINO ACIDS; CALCIUM ACETATE; GLYCERIN; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,,,
18609,1,"HEPARIN SODIUM 1,000 UNITS AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",N018609,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),200 UNITS/100ML,HEPARIN SODIUM,,,
18609,2,"HEPARIN SODIUM 2,000 UNITS AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",N018609,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),200 UNITS/100ML,HEPARIN SODIUM,,,
18609,3,"HEPARIN SODIUM 5,000 UNITS AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",N018609,Discontinued,BAXTER HLTHCARE,INJECTABLE (INJECTION),500 UNITS/100ML,HEPARIN SODIUM,,,
18609,4,"HEPARIN SODIUM 2,000 UNITS AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",N018609,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),"2,000 UNITS/1000ML",HEPARIN SODIUM,,,
18634,1,BETADINE,N018634,Prescription,ALCON PHARMS LTD,SOLUTION/DROPS (OPHTHALMIC),5%,POVIDONE-IODINE,,,
18655,1,NORPACE CR,N018655,Prescription,PFIZER,"CAPSULE, EXTENDED RELEASE (ORAL)",EQ 100MG BASE,DISOPYRAMIDE PHOSPHATE,,,
18655,2,NORPACE CR,N018655,Prescription,PFIZER,"CAPSULE, EXTENDED RELEASE (ORAL)",EQ 150MG BASE,DISOPYRAMIDE PHOSPHATE,,,
18677,1,CESAMET,N018677,Prescription,BAUSCH,CAPSULE (ORAL),1MG,NABILONE,Review,2019-02-15T00:00:00Z,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/018677Orig1s000rev.pdf
18689,1,RIDAURA,N018689,Prescription,SEBELA IRELAND LTD,CAPSULE (ORAL),3MG,AURANOFIN,Review,2019-02-15T00:00:00Z,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/018689Orig1s000rev.pdf
18892,1,SODIUM PHOSPHATES IN PLASTIC CONTAINER,N018892,Prescription,HOSPIRA,INJECTABLE (INJECTION),142MG/ML;276MG/ML,"SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE; SODIUM PHOSPHATE, MONOBASIC, ANHYDROUS",,,
18893,1,SODIUM ACETATE,N018893,Prescription,HOSPIRA,INJECTABLE (INJECTION),2MEQ/ML,SODIUM ACETATE,,,
18895,1,TPN ELECTROLYTES IN PLASTIC CONTAINER,N018895,Prescription,HOSPIRA,INJECTABLE (INJECTION),16.5MG/ML;25.4MG/ML;74.6MG/ML;121MG/ML;16.1MG/ML,CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,,,
18897,1,SODIUM CHLORIDE 14.6%,N018897,Discontinued,HOSPIRA,SOLUTION (INTRAVENOUS),50MEQ/20ML (2.5MEQ/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,SODIUM CHLORIDE,,,
18897,2,SODIUM CHLORIDE 14.6%,N018897,Prescription,HOSPIRA,SOLUTION (INTRAVENOUS),100MEQ/40ML (2.5MEQ/ML),SODIUM CHLORIDE,,,
18897,3,SODIUM CHLORIDE 23.4%,N018897,Prescription,HOSPIRA,SOLUTION (INTRAVENOUS),400MEQ/100ML (4MEQ/ML),SODIUM CHLORIDE,,,
18916,1,"HEPARIN SODIUM 5,000 UNITS IN SODIUM CHLORIDE 0.9%",N018916,Discontinued,HOSPIRA,INJECTABLE (INJECTION),"1,000 UNITS/100ML",HEPARIN SODIUM,,,
18916,2,"HEPARIN SODIUM 10,000 UNITS IN SODIUM CHLORIDE 0.9%",N018916,Discontinued,HOSPIRA,INJECTABLE (INJECTION),"10,000 UNITS/100ML",HEPARIN SODIUM,,,
18916,3,"HEPARIN SODIUM 12,500 UNITS IN SODIUM CHLORIDE 0.9%",N018916,Discontinued,HOSPIRA,INJECTABLE (INJECTION),"5,000 UNITS/100ML",HEPARIN SODIUM,,,
18916,4,"HEPARIN SODIUM 5,000 UNITS IN SODIUM CHLORIDE 0.45%",N018916,Discontinued,HOSPIRA,INJECTABLE (INJECTION),100 UNITS/ML,HEPARIN SODIUM,,,
18916,5,"HEPARIN SODIUM 10,000 UNITS IN SODIUM CHLORIDE 0.45%",N018916,Discontinued,HOSPIRA,INJECTABLE (INJECTION),"10,000 UNITS/100ML",HEPARIN SODIUM,,,
18916,6,"HEPARIN SODIUM 12,500 UNITS IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",N018916,Prescription,HOSPIRA,INJECTABLE (INJECTION),"5,000 UNITS/100ML",HEPARIN SODIUM,,,
18916,7,"HEPARIN SODIUM 25,000 UNITS IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",N018916,Prescription,HOSPIRA,INJECTABLE (INJECTION),"5,000 UNITS/100ML",HEPARIN SODIUM,,,
18916,8,"HEPARIN SODIUM 25,000 UNITS IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",N018916,Prescription,HOSPIRA,INJECTABLE (INJECTION),"10,000 UNITS/100ML",HEPARIN SODIUM,,,
18916,9,"HEPARIN SODIUM 25,000 UNITS IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",N018916,Discontinued,HOSPIRA,INJECTABLE (INJECTION),"5,000 UNITS/100ML",HEPARIN SODIUM,,,
18916,10,"HEPARIN SODIUM 1,000 UNITS IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",N018916,Prescription,HOSPIRA,INJECTABLE (INJECTION),200 UNITS/100ML,HEPARIN SODIUM,,,
18916,11,"HEPARIN SODIUM 2,000 UNITS IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",N018916,Prescription,HOSPIRA,INJECTABLE (INJECTION),200 UNITS/100ML,HEPARIN SODIUM,,,
18920,1,M.V.I. PEDIATRIC,N018920,Prescription,HOSPIRA,FOR SOLUTION (INTRAVENOUS),80MG/VIAL;0.02MG/VIAL;0.001MG/VIAL;5MG/VIAL;0.01MG/VIAL;0.14MG/VIAL;17MG/VIAL;0.2MG/VIAL;1MG/VIAL;1.4MG/VIAL;EQ 1.2MG BASE/VIAL;0.7MG/VIAL;7MG/VIAL,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PHYTONADIONE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E,,,
18931,1,TRAVASOL 5.5% IN PLASTIC CONTAINER,N018931,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5.5% (5.5GM/100ML),AMINO ACIDS,,,
18931,2,TRAVASOL 8.5% IN PLASTIC CONTAINER,N018931,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),8.5% (8.5GM/100ML),AMINO ACIDS,,,
18931,3,TRAVASOL 10% IN PLASTIC CONTAINER,N018931,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),10% (10MG/100ML),AMINO ACIDS,,,
18960,1,CUPRIC CHLORIDE IN PLASTIC CONTAINER,N018960,Prescription,HOSPIRA,INJECTABLE (INJECTION),EQ 0.4MG COPPER/ML,CUPRIC CHLORIDE,,,
18961,1,CHROMIC CHLORIDE IN PLASTIC CONTAINER,N018961,Prescription,HOSPIRA,INJECTABLE (INJECTION),EQ 0.004MG CHROMIUM/ML,CHROMIC CHLORIDE,,,
18962,1,MANGANESE CHLORIDE IN PLASTIC CONTAINER,N018962,Prescription,HOSPIRA,INJECTABLE (INJECTION),EQ 0.1MG MANGANESE/ML,MANGANESE CHLORIDE,,,
19024,1,PHYSIOLYTE IN PLASTIC CONTAINER,N019024,Prescription,B BRAUN,SOLUTION (IRRIGATION),30MG/100ML;37MG/100ML;370MG/100ML;530MG/100ML;500MG/100ML,MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE,,,
19034,1,DILAUDID-HP,N019034,Discontinued,FRESENIUS KABI USA,INJECTABLE (INJECTION),10MG/ML,HYDROMORPHONE HYDROCHLORIDE,,,
19034,2,DILAUDID-HP,N019034,Discontinued,FRESENIUS KABI USA,INJECTABLE (INJECTION),250MG/VIAL,HYDROMORPHONE HYDROCHLORIDE,,,
19034,3,DILAUDID,N019034,Prescription,FRESENIUS KABI USA,INJECTABLE (INJECTION),1MG/ML,HYDROMORPHONE HYDROCHLORIDE,,,
19034,4,DILAUDID,N019034,Prescription,FRESENIUS KABI USA,INJECTABLE (INJECTION),2MG/ML,HYDROMORPHONE HYDROCHLORIDE,,,
19034,5,DILAUDID,N019034,Discontinued,FRESENIUS KABI USA,INJECTABLE (INJECTION),4MG/ML,HYDROMORPHONE HYDROCHLORIDE,,,
19034,6,DILAUDID,N019034,Prescription,FRESENIUS KABI USA,INJECTABLE (INJECTION),0.2MG/ML,HYDROMORPHONE HYDROCHLORIDE,,,
19099,1,DOPAMINE HYDROCHLORIDE AND DEXTROSE 5% IN PLASTIC CONTAINER,N019099,Prescription,B BRAUN,INJECTABLE (INJECTION),40MG/100ML,DOPAMINE HYDROCHLORIDE,,,
19099,2,DOPAMINE HYDROCHLORIDE AND DEXTROSE 5%,N019099,Prescription,B BRAUN,INJECTABLE (INJECTION),80MG/100ML,DOPAMINE HYDROCHLORIDE,,,
19099,3,DOPAMINE HYDROCHLORIDE AND DEXTROSE 5% IN PLASTIC CONTAINER,N019099,Prescription,B BRAUN,INJECTABLE (INJECTION),160MG/100ML,DOPAMINE HYDROCHLORIDE,,,
19099,4,DOPAMINE HYDROCHLORIDE AND DEXTROSE 5%,N019099,Prescription,B BRAUN,INJECTABLE (INJECTION),320MG/100ML,DOPAMINE HYDROCHLORIDE,,,
19193,1,PROVOCHOLINE,N019193,Prescription,METHAPHARM,FOR SOLUTION (INHALATION),100MG/VIAL,METHACHOLINE CHLORIDE,,,
19193,2,PROVOCHOLINE,N019193,Discontinued,METHAPHARM,FOR SOLUTION (INHALATION),1600MG/VIAL,METHACHOLINE CHLORIDE,,,
19261,1,PAREMYD,N019261,Prescription,AKORN,SOLUTION/DROPS (OPHTHALMIC),1%;0.25%,HYDROXYAMPHETAMINE HYDROBROMIDE; TROPICAMIDE,,,
19308,1,POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,N019308,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;150MG/100ML;900MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
19308,2,POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,N019308,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;150MG/100ML;900MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
19308,3,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,N019308,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;300MG/100ML;900MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
19308,4,POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,N019308,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;75MG/100ML;900MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
19308,5,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,N019308,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;150MG/100ML;900MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
19308,6,POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,N019308,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;224MG/100ML;900MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
19308,7,POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,N019308,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;300MG/100ML;900MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
19316,1,MAGNESIUM SULFATE,N019316,Prescription,FRESENIUS KABI USA,"SOLUTION (INTRAMUSCULAR, INTRAVENOUS)",5GM/10ML (500MG/ML),MAGNESIUM SULFATE,,,
19316,2,MAGNESIUM SULFATE,N019316,Prescription,FRESENIUS KABI USA,"SOLUTION (INTRAMUSCULAR, INTRAVENOUS)",1GM/2ML (500MG/ML),MAGNESIUM SULFATE,,,
19316,3,MAGNESIUM SULFATE,N019316,Prescription,FRESENIUS KABI USA,"SOLUTION (INTRAMUSCULAR, INTRAVENOUS)",10GM/20ML (500MG/ML),MAGNESIUM SULFATE,,,
19316,4,MAGNESIUM SULFATE,N019316,Prescription,FRESENIUS KABI USA,"SOLUTION (INTRAMUSCULAR, INTRAVENOUS)",25GM/50ML (500MG/ML),MAGNESIUM SULFATE,,,
19319,2,SODIUM CHLORIDE 0.9% IN STERILE PLASTIC CONTAINER,N019319,Prescription,BAXTER HLTHCARE,SOLUTION FOR SLUSH (IRRIGATION),900MG/100ML,SODIUM CHLORIDE,,,
19339,1,"HEPARIN SODIUM 12,500 UNITS IN DEXTROSE 5% IN PLASTIC CONTAINER",N019339,Prescription,HOSPIRA,INJECTABLE (INJECTION),"5,000 UNITS/100ML",HEPARIN SODIUM,,,
19339,2,"HEPARIN SODIUM 25,000 UNITS IN DEXTROSE 5% IN PLASTIC CONTAINER",N019339,Prescription,HOSPIRA,INJECTABLE (INJECTION),"10,000 UNITS/100ML",HEPARIN SODIUM,,,
19339,3,"HEPARIN SODIUM 10,000 UNITS IN DEXTROSE 5% IN PLASTIC CONTAINER",N019339,Prescription,HOSPIRA,INJECTABLE (INJECTION),"10,000 UNITS/100ML",HEPARIN SODIUM,,,
19339,4,"HEPARIN SODIUM 25,000 UNITS IN DEXTROSE 5% IN PLASTIC CONTAINER",N019339,Prescription,HOSPIRA,INJECTABLE (INJECTION),"5,000 UNITS/100ML",HEPARIN SODIUM,,,
19345,1,DEXTROSE 30% IN PLASTIC CONTAINER,N019345,Prescription,ICU MEDICAL INC,INJECTABLE (INJECTION),30GM/100ML,DEXTROSE,,,
19357,1,ETHAMOLIN,N019357,Prescription,QOL MEDCL,INJECTABLE (INJECTION),50MG/ML,ETHANOLAMINE OLEATE,,,
19367,1,POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,N019367,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML,CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,,,
19367,2,POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,N019367,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML,CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,,,
19367,3,POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,N019367,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,,,
19367,4,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,N019367,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,,,
19367,5,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,N019367,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,,,
19367,6,POTASSIUM CHLORIDE 15MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,N019367,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,,,
19367,7,POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,N019367,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,,,
19367,8,POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,N019367,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,,,
19398,1,AMINOSYN-PF 7%,N019398,Prescription,ICU MEDICAL INC,INJECTABLE (INJECTION),7% (7GM/100ML),AMINO ACIDS,,,
19445,1,DEXTROSE 50%,N019445,Prescription,HOSPIRA,INJECTABLE (INJECTION),500MG/ML,DEXTROSE,,,
19445,2,DEXTROSE 25%,N019445,Prescription,HOSPIRA,INJECTABLE (INJECTION),250MG/ML,DEXTROSE,,,
19463,1,TIMOPTIC IN OCUDOSE,N019463,Prescription,VALEANT PHARMS INTL,SOLUTION/DROPS (OPHTHALMIC),EQ 0.25% BASE,TIMOLOL MALEATE,,,
19463,2,TIMOPTIC IN OCUDOSE,N019463,Prescription,VALEANT PHARMS INTL,SOLUTION/DROPS (OPHTHALMIC),EQ 0.5% BASE,TIMOLOL MALEATE,,,
19481,1,RENACIDIN,N019481,Prescription,UNITED GUARDIAN,SOLUTION (IRRIGATION),6.602GM/100ML;198MG/100ML;3.177GM/100ML,CITRIC ACID; GLUCONOLACTONE; MAGNESIUM CARBONATE,,,
19513,1,IONOSOL MB AND DEXTROSE 5% IN PLASTIC CONTAINER,N019513,Prescription,ICU MEDICAL INC,INJECTABLE (INJECTION),5GM/100ML;30MG/100ML;141MG/100ML;15MG/100ML;260MG/100ML;25MG/100ML,"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC ANHYDROUS",,,
19614,1,VERELAN,N019614,Prescription,RECRO GAINESVILLE,"CAPSULE, EXTENDED RELEASE (ORAL)",120MG,VERAPAMIL HYDROCHLORIDE,,,
19614,2,VERELAN,N019614,Prescription,RECRO GAINESVILLE,"CAPSULE, EXTENDED RELEASE (ORAL)",240MG,VERAPAMIL HYDROCHLORIDE,,,
19614,3,VERELAN,N019614,Prescription,RECRO GAINESVILLE,"CAPSULE, EXTENDED RELEASE (ORAL)",180MG,VERAPAMIL HYDROCHLORIDE,,,
19614,4,VERELAN,N019614,Prescription,RECRO GAINESVILLE,"CAPSULE, EXTENDED RELEASE (ORAL)",360MG,VERAPAMIL HYDROCHLORIDE,,,
19615,1,DOPAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER,N019615,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),80MG/100ML,DOPAMINE HYDROCHLORIDE,,,
19615,2,DOPAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER,N019615,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),160MG/100ML,DOPAMINE HYDROCHLORIDE,,,
19615,3,DOPAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER,N019615,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),320MG/100ML,DOPAMINE HYDROCHLORIDE,,,
19615,4,DOPAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER,N019615,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),640MG/100ML,DOPAMINE HYDROCHLORIDE,,,
19617,1,PREPIDIL,N019617,Prescription,PFIZER,GEL (ENDOCERVICAL),0.5MG/3GM,DINOPROSTONE,,,
19630,1,POTASSIUM CHLORIDE 0.037% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER,N019630,Prescription,B BRAUN,INJECTABLE (INJECTION),5GM/100ML;37MG/100ML;110MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
19630,2,POTASSIUM CHLORIDE 0.075% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER,N019630,Prescription,B BRAUN,INJECTABLE (INJECTION),5GM/100ML;75MG/100ML;110MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
19630,3,POTASSIUM CHLORIDE 0.11% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER,N019630,Prescription,B BRAUN,INJECTABLE (INJECTION),5GM/100ML;110MG/100ML;110MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
19630,4,POTASSIUM CHLORIDE 0.15% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER,N019630,Prescription,B BRAUN,INJECTABLE (INJECTION),5GM/100ML;150MG/100ML;110MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
19630,5,POTASSIUM CHLORIDE 0.22% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER,N019630,Prescription,B BRAUN,INJECTABLE (INJECTION),5GM/100ML;220MG/100ML;110MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
19630,6,POTASSIUM CHLORIDE 0.3% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER,N019630,Prescription,B BRAUN,INJECTABLE (INJECTION),5GM/100ML;300MG/100ML;110MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
19630,7,POTASSIUM CHLORIDE 0.037% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER,N019630,Prescription,B BRAUN,INJECTABLE (INJECTION),5GM/100ML;37MG/100ML;200MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
19630,8,POTASSIUM CHLORIDE 0.075% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER,N019630,Prescription,B BRAUN,INJECTABLE (INJECTION),5GM/100ML;75MG/100ML;200MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
19630,9,POTASSIUM CHLORIDE 0.11% IN DEXTROSE 5% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER,N019630,Prescription,B BRAUN,INJECTABLE (INJECTION),5GM/100ML;110MG/100ML;200MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
